workload,size,platform,runtime,runtime_cfg,energy,energy_cfg,edp,edp_cfg
STREAM,256000000,3090,0.0036189025270758,gpu_resident,1.277,gpu_resident,0.0046261653104692,gpu_resident
STREAM,256000000,5060ti,0.0077620465116279,gpu_resident,0.7856279069767442,gpu_resident,0.006097809343609,gpu_resident
STREAM,256000000,AMD,0.0734132142857142,4T,6.815670107142857,4T,0.5002835737877106,4T
STREAM,256000000,INTEL,0.1159725,8T,8.0917723125,2T,1.0275266766398574,4T
STRIDED_GEMM,64,3090,5.265390629524527e-06,gpu_resident,0.0009341966020311,gpu_resident,4.919391837770915e-09,gpu_resident
STRIDED_GEMM,64,5060ti,9.824193706499364e-06,gpu_resident,0.0003301833153612,gpu_resident,3.241224180560288e-09,gpu_resident
STRIDED_GEMM,64,AMD,6.138008702643321e-06,8T,0.0004390853733376,8T,2.693620855628583e-09,8T
STRIDED_GEMM,64,INTEL,2.476036837876259e-06,16T,0.0001315633664435,16T,3.229599081398164e-10,16T
STRIDED_GEMM,128,3090,5.186626183838249e-06,gpu_resident,0.0010086930828564,gpu_resident,5.234266457310598e-09,gpu_resident
STRIDED_GEMM,128,5060ti,9.844514270493175e-06,gpu_resident,0.0004243214979824,gpu_resident,4.177338209321127e-09,gpu_resident
STRIDED_GEMM,128,AMD,1.3358346501653231e-05,4T,0.0015195568035815,4T,2.0253929201305706e-08,4T
STRIDED_GEMM,128,INTEL,1.178946383237596e-05,8T,0.0011816319297914,4T,1.4631661135124886e-08,4T
STRIDED_GEMM,256,3090,7.282658879559572e-06,gpu_resident,0.0021616795683107,gpu_resident,1.5742947946253712e-08,gpu_resident
STRIDED_GEMM,256,5060ti,1.63740113641946e-05,gpu_resident,0.0012476624035895,gpu_resident,2.04331027280577e-08,gpu_resident
STRIDED_GEMM,256,AMD,6.577063919149494e-05,16T,0.0104298685214075,4T,7.718843541403335e-07,16T
STRIDED_GEMM,256,INTEL,3.926455906821964e-05,8T,0.0055139437543533,8T,2.177878856343998e-07,8T
STRIDED_GEMM,512,3090,2.2870950780696337e-05,gpu_resident,0.0075230361588889,gpu_resident,1.7185056457694625e-07,gpu_resident
STRIDED_GEMM,512,5060ti,6.762133198106828e-05,gpu_resident,0.007332893847194,gpu_resident,4.998092197938138e-07,gpu_resident
